,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Home_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsScored_Last5,Away_GoalsConceded_Last5
11,Real Madrid,Ath Bilbao,1,2,A,0.0,0.0,D,5.0,1.0,4.0,0.0
12,Betis,Zaragoza,3,1,H,2.0,0.0,H,1.0,1.0,1.0,0.0
13,Albacete,Sevilla,3,2,H,2.0,1.0,H,0.0,3.0,0.0,1.0
14,Barcelona,Merida,2,2,D,1.0,1.0,D,2.0,0.0,1.0,1.0
15,Compostela,La Coruna,4,0,H,2.0,0.0,H,1.0,0.0,3.0,0.0
16,Oviedo,Vallecano,2,0,H,1.0,0.0,H,0.0,1.0,1.0,5.0
17,Salamanca,Celta,0,1,A,0.0,0.0,D,1.0,3.0,0.0,1.0
18,Santander,Ath Madrid,0,4,A,0.0,0.0,D,0.0,4.0,4.0,1.0
19,Sociedad,Sp Gijon,2,0,H,1.0,0.0,H,1.0,4.0,3.0,0.0
20,Tenerife,Espanol,1,4,A,0.0,2.0,A,1.0,0.0,3.0,1.0
21,Valencia,Valladolid,1,0,H,0.0,0.0,D,0.0,3.0,0.0,2.0
22,Ath Bilbao,Ath Madrid,0,2,A,0.0,1.0,A,3.0,0.5,4.0,0.5
23,Sp Gijon,Santander,4,2,H,2.0,1.0,H,1.5,1.0,0.0,4.0
24,Zaragoza,Barcelona,0,3,A,0.0,0.0,D,1.0,1.5,2.0,1.0
25,Vallecano,Betis,1,2,A,1.0,1.0,D,0.5,3.5,2.0,1.0
26,Valladolid,Compostela,0,0,D,0.0,0.0,D,0.0,1.5,2.5,0.0
27,Sevilla,Sociedad,2,1,H,1.0,1.0,D,1.0,2.0,1.5,2.0
28,Espanol,Albacete,1,0,H,0.0,0.0,D,3.5,1.0,1.5,2.5
29,Merida,Valencia,0,2,A,0.0,0.0,D,1.5,1.5,0.5,1.5
30,La Coruna,Salamanca,2,0,H,1.0,0.0,H,1.5,2.0,0.5,2.0
31,Celta,Tenerife,2,2,D,2.0,2.0,D,0.5,0.5,1.0,2.0
32,Real Madrid,Oviedo,2,3,A,2.0,2.0,D,3.0,1.5,1.0,0.5
33,Barcelona,Vallecano,2,0,H,1.0,0.0,H,2.3333333333333335,0.6666666666666666,0.6666666666666666,3.0
34,Betis,Real Madrid,0,0,D,0.0,0.0,D,2.0,1.0,2.6666666666666665,2.0
35,Santander,Sevilla,1,1,D,1.0,1.0,D,0.6666666666666666,4.0,1.3333333333333333,1.6666666666666667
36,Valencia,Zaragoza,0,0,D,0.0,0.0,D,1.0,1.0,0.6666666666666666,2.0
37,Tenerife,La Coruna,1,1,D,0.0,0.0,D,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333
38,Sociedad,Espanol,0,1,A,0.0,1.0,A,1.3333333333333333,2.0,2.6666666666666665,0.6666666666666666
39,Salamanca,Valladolid,0,0,D,0.0,0.0,D,0.3333333333333333,2.0,0.0,1.0
40,Oviedo,Ath Bilbao,0,0,D,0.0,0.0,D,1.6666666666666667,1.0,2.0,1.0
41,Ath Madrid,Sp Gijon,2,0,H,1.0,0.0,H,3.3333333333333335,0.3333333333333333,2.3333333333333335,1.3333333333333333
42,Albacete,Celta,4,0,H,0.0,0.0,D,1.0,2.0,1.0,1.0
43,Compostela,Merida,1,0,H,1.0,0.0,H,1.6666666666666667,0.0,1.0,1.6666666666666667
44,Ath Bilbao,Sp Gijon,2,1,H,1.0,0.0,H,1.5,0.75,1.75,1.5
45,Real Madrid,Barcelona,1,1,D,1.0,1.0,D,2.0,1.5,2.25,0.5
46,Valladolid,Tenerife,3,0,H,2.0,0.0,H,0.0,0.75,1.25,1.75
47,Zaragoza,Compostela,1,0,H,1.0,0.0,H,0.5,1.5,1.5,0.0
48,Vallecano,Valencia,3,2,H,0.0,0.0,D,0.5,2.75,0.75,0.75
49,Sevilla,Ath Madrid,0,0,D,0.0,0.0,D,1.25,1.5,3.0,0.25
50,Celta,Sociedad,1,1,D,1.0,1.0,D,0.75,1.75,1.0,1.75
51,Merida,Salamanca,0,0,D,0.0,0.0,D,0.75,1.5,0.25,1.5
52,Espanol,Santander,1,0,H,0.0,0.0,D,2.25,0.5,0.75,3.25
53,Oviedo,Betis,0,1,A,0.0,1.0,A,1.25,0.75,1.5,0.75
54,La Coruna,Albacete,5,0,H,1.0,0.0,H,1.5,1.25,1.75,1.5
55,Sp Gijon,Sevilla,3,1,H,1.0,1.0,D,1.6,1.6,1.0,1.2
56,Valencia,Real Madrid,4,3,H,3.0,0.0,H,1.0,1.2,1.8,1.4
57,Tenerife,Merida,1,0,H,1.0,0.0,H,1.0,2.0,0.6,1.2
58,Sociedad,La Coruna,2,1,H,1.0,1.0,D,1.0,1.6,2.2,1.0
59,Santander,Celta,2,1,H,1.0,1.0,D,0.6,2.8,0.8,1.6
60,Compostela,Vallecano,1,0,H,1.0,0.0,H,1.2,0.2,1.0,2.6
61,Betis,Ath Bilbao,0,0,D,0.0,0.0,D,1.4,0.6,1.6,0.8
62,Barcelona,Oviedo,4,1,H,3.0,0.0,H,2.0,0.6,1.0,0.8
63,Albacete,Valladolid,4,2,H,2.0,1.0,H,1.4,2.2,0.6,0.6
64,Salamanca,Zaragoza,0,1,A,0.0,1.0,A,0.2,1.2,0.6,1.2
65,Ath Madrid,Espanol,2,1,H,1.0,1.0,D,2.4,0.2,2.0,0.4
66,Betis,Barcelona,1,5,A,0.0,2.0,A,1.2,0.4,2.4,0.8
67,Real Madrid,Compostela,2,1,H,2.0,1.0,H,1.4,2.0,1.2,0.2
68,Vallecano,Salamanca,1,4,A,0.0,0.0,D,0.8,1.8,0.0,0.8
69,Valladolid,Sociedad,3,0,H,0.0,0.0,D,1.0,1.0,1.2,1.0
70,Zaragoza,Tenerife,0,2,A,0.0,0.0,D,0.6,1.2,1.0,2.0
71,Oviedo,Valencia,0,1,A,0.0,0.0,D,1.2,1.4,1.8,1.2
72,La Coruna,Santander,2,3,A,0.0,1.0,A,1.8,1.4,1.0,2.2
73,Espanol,Sp Gijon,0,0,D,0.0,0.0,D,1.6,0.6,1.6,1.8
74,Celta,Ath Madrid,0,3,A,0.0,1.0,A,1.0,1.8,2.0,0.2
75,Ath Bilbao,Sevilla,1,1,D,0.0,0.0,D,0.8,0.8,1.2,1.6
76,Merida,Albacete,1,1,D,0.0,0.0,D,0.4,1.2,2.2,2.0
77,Ath Madrid,La Coruna,1,0,H,1.0,0.0,H,1.8,0.2,2.2,1.2
78,Barcelona,Ath Bilbao,4,1,H,1.0,0.0,H,3.0,0.6,0.6,0.8
79,Sevilla,Espanol,0,3,A,0.0,2.0,A,1.0,1.2,0.8,0.4
80,Valencia,Betis,1,1,D,1.0,1.0,D,1.8,1.2,0.8,1.2
81,Tenerife,Vallecano,2,2,D,0.0,0.0,D,1.2,1.2,1.0,2.2
82,Sp Gijon,Celta,1,0,H,0.0,0.0,D,1.6,1.4,0.8,2.4
83,Sociedad,Merida,1,2,A,0.0,1.0,A,0.8,1.6,0.2,1.0
84,Compostela,Oviedo,4,1,H,2.0,1.0,H,0.6,0.6,0.8,1.6
85,Salamanca,Real Madrid,0,2,A,0.0,1.0,A,0.8,0.8,1.6,1.8
86,Albacete,Zaragoza,0,1,A,0.0,0.0,D,1.8,1.8,0.4,1.0
87,Santander,Valladolid,0,0,D,0.0,0.0,D,1.6,1.8,1.6,0.8
88,Valladolid,Ath Madrid,0,1,A,0.0,0.0,D,1.6,0.8,1.6,0.2
89,Oviedo,Salamanca,2,2,D,1.0,0.0,H,0.4,2.0,0.8,0.8
90,Zaragoza,Sociedad,1,2,A,0.0,1.0,A,0.6,0.4,0.8,1.6
91,Vallecano,Albacete,2,0,H,0.0,0.0,D,1.2,2.2,1.8,1.8
