league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
ESP-La Liga,8990,Athletic Club,23,23.9,,38,,3420,38,,,,,,,55,,,,,,,/en/squads/2b390eca/1989-1990/Athletic-Club-Stats
ESP-La Liga,8990,Atlético Madrid,22,25.9,,38,,3420,38,,,,,,,58,,,,,,,/en/squads/db3b9613/1989-1990/Atletico-Madrid-Stats
ESP-La Liga,8990,Barcelona,25,25.8,,38,,3420,38,,,,,,,58,,,,,,,/en/squads/206d90db/1989-1990/Barcelona-Stats
ESP-La Liga,8990,Castellón,24,25.9,,38,,3420,38,,,,,,,63,,,,,,,/en/squads/9eef2995/1989-1990/Castellon-Stats
ESP-La Liga,8990,Celta Vigo,21,27.0,,38,,3420,38,,,,,,,69,,,,,,,/en/squads/f25da7fb/1989-1990/Celta-Vigo-Stats
ESP-La Liga,8990,Cádiz,25,27.3,,38,,3420,38,,,,,,,59,,,,,,,/en/squads/ee7c297c/1989-1990/Cadiz-Stats
ESP-La Liga,8990,Logroñés,23,26.2,,38,,3420,38,,,,,,,72,,,,,,,/en/squads/696c8d95/1989-1990/Logrones-Stats
ESP-La Liga,8990,Mallorca,22,25.9,,38,,3420,38,,,,,,,74,,,,,,,/en/squads/2aa12281/1989-1990/Mallorca-Stats
ESP-La Liga,8990,Málaga,27,26.5,,38,,3420,38,,,,,,,68,,,,,,,/en/squads/ffbf3fa8/Malaga-Stats
ESP-La Liga,8990,Osasuna,23,26.4,,38,,3420,38,,,,,,,58,,,,,,,/en/squads/03c57e2b/1989-1990/Osasuna-Stats
ESP-La Liga,8990,Oviedo,21,26.9,,38,,3420,38,,,,,,,48,,,,,,,/en/squads/ab358912/1989-1990/Oviedo-Stats
ESP-La Liga,8990,Rayo Vallecano,28,24.9,,38,,3420,38,,,,,,,80,,,,,,,/en/squads/98e8af82/1989-1990/Rayo-Vallecano-Stats
